Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2010","2010","1000 ha","15390","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2010","2010","1000 ha","1672.4","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2010","2010","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2011","2011","1000 ha","15214","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2011","2011","1000 ha","1701.6","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2011","2011","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2012","2012","1000 ha","15038","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2012","2012","1000 ha","1730.8","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2013","2013","1000 ha","14687","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2013","2013","1000 ha","1790","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2014","2014","1000 ha","14687","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2014","2014","1000 ha","1790","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2014","2014","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2015","2015","1000 ha","14687","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2015","2015","1000 ha","1790","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2016","2016","1000 ha","14687","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2016","2016","1000 ha","1790","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2017","2017","1000 ha","15134","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2017","2017","1000 ha","1824","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2018","2018","1000 ha","15581","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2018","2018","1000 ha","1857","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2019","2019","1000 ha","15620.3333","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2019","2019","1000 ha","1891","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2020","2020","1000 ha","15659.6667","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2020","2020","1000 ha","1891","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","29477","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","2021","2021","1000 ha","15699","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","2021","2021","1000 ha","1891","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","29477","I","Imputed value"
